Year	Grand Total	Single-Engine	Multi-Engine	Total Piston	Turboprop	Business Jet	Total Turbine	Companies Reporting	Factory Net Billings ($Millions)
1969	 12,457 	 10,054 	 2,078 	 12,132 	 214 	 111 	 325 	 14 	 $585 
1970	 7,292 	 5,942 	 1,159 	 7,101 	 135 	 56 	 191 	 13 	 $337 
1971	 7,466 	 6,287 	 1,043 	 7,330 	 89 	 47 	 136 	 11 	 $322 
1972	 9,774 	 7,898 	 1,548 	 9,446 	 179 	 149 	 328 	 12 	 $558 
1973	 13,646 	 10,780 	 2,413 	 13,193 	 247 	 206 	 453 	 12 	 $828 
1974	 14,166 	 11,562 	 2,135 	 13,697 	 250 	 219 	 469 	 12 	 $909 
1975	 14,056 	 11,439 	 2,116 	 13,555 	 305 	 196 	 501 	 12 	 $1,033 
1976	 15,449 	 12,783 	 2,120 	 14,903 	 359 	 187 	 546 	 12 	 $1,226 
1977	 16,907 	 14,057 	 2,195 	 16,252 	 428 	 227 	 655 	 12 	 $1,488 
1978	 17,811 	 14,398 	 2,634 	 17,032 	 548 	 231 	 779 	 12 	 $1,781 
1979	 17,050 	 13,286 	 2,843 	 16,129 	 639 	 282 	 921 	 12 	 $2,165 
1980	 11,860 	 8,640 	 2,116 	 10,756 	 778 	 326 	 1,104 	 12 	 $2,486 
1981	 9,457 	 6,608 	 1,542 	 8,150 	 918 	 389 	 1,307 	 12 	 $2,920 
1982	 4,266 	 2,871 	 678 	 3,549 	 458 	 259 	 717 	 11 	 $2,000 
1983	 2,691 	 1,811 	 417 	 2,228 	 321 	 142 	 463 	 10 	 $1,470 
1984	 2,431 	 1,620 	 371 	 1,991 	 271 	 169 	 440 	 9 	 $1,681 
1985	 2,029 	 1,370 	 193 	 1,563 	 321 	 145 	 466 	 9 	 $1,431 
1986	 1,495 	 985 	 138 	 1,123 	 250 	 122 	 372 	 9 	 $1,262 
1987	 1,085 	 613 	 87 	 700 	 263 	 122 	 385 	 9 	 $1,364 
1988	 1,143 	 628 	 67 	 695 	 291 	 157 	 448 	 11 	 $1,923 
1989	 1,535 	 1,023 	 87 	 1,110 	 268 	 157 	 425 	 11 	 $1,804 
1990	 1,144 	 608 	 87 	 695 	 281 	 168 	 449 	 14 	 $2,008 
1991	 1,021 	 564 	 49 	 613 	 222 	 186 	 408 	 14 	 $1,968 
1992	 941 	 552 	 41 	 593 	 177 	 171 	 348 	 16 	 $1,840 
1993	 964 	 516 	 39 	 555 	 211 	 198 	 409 	 16 	 $2,144 
1994	 929 	 444 	 55 	 499 	 208 	 222 	 430 	 13 	 $2,357 
1995	 1,077 	 515 	 61 	 576 	 255 	 246 	 501 	 13 	 $2,842 
1996	 1,171 	 607 	 42 	 649 	 289 	 233 	 522 	 13 	 $3,048 
1997	 1,562 	 898 	 86 	 984 	 236 	 342 	 578 	 12 	 $4,593 
1998	 2,212 	 1,434 	 94 	 1,528 	 271 	 413 	 684 	 12 	 $5,761 
1999	 2,530 	 1,634 	 114 	 1,748 	 265 	 517 	 782 	 13 	 $7,843 
2000	 2,816 	 1,810 	 103 	 1,913 	 315 	 588 	 903 	 15 	 $8,558 
2001	 2,631 	 1,581 	 147 	 1,728 	 303 	 600 	 903 	 14 	 $8,641 
2002	 2,207 	 1,366 	 130 	 1,496 	 187 	 524 	 711 	 12 	 $7,719 
2003	 2,137 	 1,519 	 71 	 1,590 	 163 	 384 	 547 	 13 	 $6,434 
2004	 2,355 	 1,706 	 52 	 1,758 	 194 	 403 	 597 	 13 	 $6,816 
2005	 2,857 	 2,024 	 71 	 2,095 	 240 	 522 	 762 	 13 	 $8,667 
2006	 3,147 	 2,208 	 79 	 2,287 	 256 	 604 	 860 	 16 	 $10,367 
2007	 3,279 	 2,097 	 77 	 2,174 	 290 	 815 	 1,105 	 16 	 $11,941 
2008	 3,079 	 1,700 	 91 	 1,791 	 333 	 955 	 1,288 	 15 	 $13,348 
2009	 1,585 	 770 	 32 	 802 	 269 	 514 	 783 	 13 	 $9,082 
2010	 1,334 	 679 	 67 	 746 	 224 	 364 	 588 	 12 	 $7,875 
2011	 1,465 	 639 	 67 	 706 	 395 	 364 	 759 	 16 	 $8,266 
2012	 1,518 	 645 	 63 	 708 	 463 	 347 	 810 	 17 	 $8,017 
2013	 1,617 	 674 	 80 	 754 	 527 	 334 	 861 	 17 	 $11,069 
2014	 1,631 	 716 	 72 	 788 	 468 	 375 	 843 	 16 	 $11,688 
2015	 1,592 	 740 	 43 	 783 	 420 	 389 	 809 	 17 	 $11,982 
2016	 1,531 	 685 	 33 	 718 	 411 	 402 	 813 	 18 	 $11,560 
2017	 1,599 	 745 	 41 	 786 	 409 	 404 	 813 	 18 	 $10,641 
2018	 1,746 	 771 	 58 	 829 	 444 	 473 	 917 	 18 	 $11,598 
2019	 1,771 	 825 	 58 	 883 	 385 	 503 	 888 	 18 	 $13,972 
2020	 1,555 	 854 	 31 	 885 	 317 	 353 	 670 	 18 	 $13,972 
