
Date	Fatalities	Injuries	Survivors	Flight(s) or incident	Location	State or territory	Aircraft	Summary
July 7, 2013	10	0	0	2013 Rediske Air DHC-3 Otter crash	Soldotna	Alaska	de Havilland Canada DHC-3 Otter	The charter flight stalled and crashed during takeoff; the cause has not been determined.
July 6, 2013	3	187	304	Asiana Airlines Flight 214	San Francisco	California	Boeing 777-200ER	The aircraft crashed short of the runway during landing because of pilot error.
March 8, 2013	2	0	0	ACE Air Cargo Flight 51	Muklung Hills, 17 miles NE of Dillingham	Alaska	Beachcraft 1900C	The cargo aircraft crashed into a mountain during approach because of pilot error.
February 12, 2009	50	4	0	Colgan Air Flight 3407	Clarence Center	New York	Bombardier Dash 8 Q400	The aircraft crashed into a house during approach due to the flight crew's improper response to an impending stall, killing all on board and one in the house.
August 27, 2006	49	1	1	Comair Flight 5191	Lexington	Kentucky	Bombardier CRJ 100ER	The aircraft mistakenly attempted to take off using an incorrect runway that was too short, causing it to overrun the runway and crash.
December 19, 2005	20	0	0	Chalk's Ocean Airways Flight 101	Government Cut channel, off of Miami Beach	Florida	Grumman G-73 Mallard	The aircraft experienced in-flight structural failure caused by metal fatigue cracking and poor maintenance and crashed, killing everyone on board.
December 8, 2005	1	12	103	Southwest Airlines Flight 1248	Chicago	Illinois	Boeing 737-700	The aircraft overran the runway at Chicago-Midway during a snowstorm because reverse thrust was not applied in a timely manner. Everyone aboard survived, but the plane crashed into a vehicle outside the airport and killed a child in the car.
October 19, 2004	13	2	2	Corporate Airlines Flight 5966	Kirksville	Missouri	British Aerospace Jetstream 32	The aircraft crashed on approach because of pilot error.
October 14, 2004	2	0	0	Pinnacle Airlines Flight 3701	near Jefferson City	Missouri	Bombardier CRJ200	The ferry flight suffered dual-engine failure at high altitude and a subsequent crash caused by the crew's reckless flying.
August 13, 2004	1	1	1	Air Tahoma Flight 185	Florence	Kentucky	Convair CV-580	Mismanagement of fuel tanks caused a dual-engine flameout, and the cargo aircraft then crashed during approach, killing the first officer.
August 26, 2003	2	0	0	Colgan Air Flight 9446	Yarmouth	Massachusetts	Beechcraft 1900D	Because the crew did not perform a preflight checklist, faulty maintenance on the trim system was not detected and the ferry flight crashed shortly after takeoff.
January 8 , 2003	21	1	0	Air Midwest Flight 5481	Charlotte	North Carolina	Beechcraft 1900D	Overweight and with faulty maintenance to its elevator system, the plane entered an unrecoverable stall just after takeoff.
November 12, 2001	265	1	0	American Airlines Flight 587	Belle Harbor, Queens, New York City	New York	Airbus A300B4-600R	The aircraft lost its vertical stabilizer shortly after takeoff as a result of the first officer's extreme rudder inputs during wake turbulence and crashed into a neighborhood in Queens, killing all on board and five on the ground.
September 11, 2001	44	0	0	United Airlines Flight 93	Shanksville	Pennsylvania	Boeing 757-222	One of four aircraft involved in the September 11 attacks. After being hijacked by four Al-Qaeda terrorists with the intention of being crashed into either the United States Capitol building or the White House, passengers on board the flight partially regained control of the aircraft before crashing into a field at high speed, killing all 44 people on board including the four hijackers.
September 11, 2001	189	106	0	American Airlines Flight 77	Arlington	Virginia	Boeing 757-223	One of four aircraft involved in the September 11 attacks. After being hijacked by five Al-Qaeda terrorists it was deliberately crashed into the west wall of the Pentagon, resulting in the deaths of all 64 people on board including the five hijackers, as well as an additional 125 people in the Pentagon. 106 people on the ground suffered from injuries of varying severity.
September 11, 2001	679 	c. 6,000 – c. 25,000 (combined with American Airlines Flight 11)	0	United Airlines Flight 175	New York City	New York	Boeing 767-200	One of four aircraft involved in the September 11 attacks. After being hijacked by five Al-Qaeda terrorists it was deliberately crashed into the South Tower of World Trade Center, resulting in the deaths of all 65 people on board including the five hijackers, as well as an estimated 614 people in the South Tower when it subsequently collapsed as a result of the crash. Thousands of people on the ground suffered from injuries of varying severity.
September 11, 2001	1700	c. 6,000 – c. 25,000 (combined with United Airlines Flight 175)	0	American Airlines Flight 11	New York City	New York	Boeing 767-200ER	One of four aircraft involved in the September 11 attacks. After being hijacked by five Al-Qaeda terrorists it was deliberately crashed into the North Tower of World Trade Center, resulting in the deaths of all 92 people on board including the five hijackers, as well as an estimated 1,600 people in the North Tower when it subsequently collapsed as a result of the crash. Thousands of people on the ground suffered from injuries of varying severity.
August 11, 2000	1	1	125	Southwest Airlines Flight 1763	in flight toward Salt Lake City	Utah	Boeing 737-700	In an apparent case of air rage, a man opened the cockpit door and was then subdued by eight others and died of asphyxiation as a result.
February 16, 2000	3	0	0	Emery Worldwide Flight 17	Rancho Cordova	California	McDonnell Douglas DC-8-71	The cargo aircraft crashed shortly after takeoff after the right elevator control tab detached because of faulty maintenance, causing loss of pitch control.
January 31, 2000	88	0	0	Alaska Airlines Flight 261	Pacific Ocean, near Anacapa Island	California	McDonnell Douglas MD-83	The aircraft lost pitch control when an inadequately lubricated jackscrew tore loose, causing it to crash into the ocean while preparing for an emergency landing.
October 31, 1999	217	0	0	EgyptAir Flight 990	Atlantic Ocean, 62 miles south of Nantucket	Massachusetts	Boeing 767-300ER	The aircraft crashed into the ocean because of deliberate flight-control inputs by the relief first officer, though Egyptian authorities maintain that there was an underlying mechanical cause.
June 1, 1999	11	110	134	American Airlines Flight 1420	Little Rock	Arkansas	McDonnell Douglas MD-82	After the crew opted not to divert to another airport in inclement weather, the aircraft overran the runway when the spoilers were not deployed upon landing.
August 7, 1997	5	2	0	Fine Air Flight 101	Miami	Florida	McDonnell Douglas DC-8-61F	Improperly loaded cargo resulted in faulty stabilizer trim settings that caused the aircraft to pitch over uncontrollably, stall and crash just after takeoff.
August 6, 1997	229	25	25	Korean Air Flight 801	Bijia Peak, Asan-Maina, near Antonio B. Won Pat International Airport	Guam	Boeing 747-3B5	The aircraft experienced a controlled flight into terrain due to pilot error, air traffic control error, and inclement weather. The ATC Minimum Safe Altitude Warning (MSAW) system was deliberately modified so as to limit spurious alarms and could not detect an approaching aircraft that was below minimum safe altitude.
January 9, 1997	29	0	0	Comair Flight 3272	Raisinville Township	Michigan	Embraer EMB 120 Brasilia	The crew's decision to not activate the deicing boots because of their unwarranted fear of ice bridging caused the aircraft to crash.
November 19, 1996	14	0	0	United Express Flight 5925	Gilmer Township	Illinois	Beechcraft 1900C	The aircraft collided with a private aircraft on the runway, killing all aboard both aircraft.
July 17, 1996	230	0	0	TWA Flight 800	New York Bight near East Moriches	New York	Boeing 747-100	The plane's center fuel tank exploded because of a short circuit, destroying the aircraft in midair shortly after takeoff.
July 6, 1996	2	5	140	Delta Air Lines Flight 1288	Pensacola	Florida	McDonnell Douglas MD-88	The aircraft experienced an uncontained engine failure during takeoff, with debris penetrating the fuselage and killing two passengers.
May 11, 1996	110	0	0	ValuJet Flight 592	Everglades	Florida	McDonnell Douglas DC-9-32	Expired oxygen generators caused a rapidly spreading fire that caused the crew to lose control, crashing into the Everglades.
August 21, 1995	9	20	20	Atlantic Southeast Airlines Flight 529	near Carrollton	Georgia	Embraer EMB 120 Brasilia	The aircraft suffered failure of one of the propeller blades, causing failure of the engine and loss of lift on that side that prevented the plane from maintaining altitude. All occupants survived the initial crash, but 9 died in the ensuing fire.
November 22, 1994	2	8	140	TWA Flight 427	Bridgeton	Missouri	McDonnell Douglas MD-82	The aircraft struck a Cessna 441 Conquest II during its takeoff roll, killing both occupants in the Cessna but causing only minor injuries aboard the larger aircraft. The Cessna was taxiing on the incorrect runway.
October 31, 1994	68	0	0	American Eagle Flight 4184	near Roselawn	Indiana	ATR 72	The aircraft experienced severe icing from freezing rain that overwhelmed the deicing systems of the aircraft and caused roll excursions, the second of which was unrecoverable due to insufficient remaining altitude.
September 8, 1994	132	0	0	USAir Flight 427	Hopewell Township	Pennsylvania	Boeing 737-300	The aircraft experienced a rudder hardover during approach that was found to be due to a design flaw, causing an unrecoverable aerodynamic stall.
July 2, 1994	37	20	20	USAir Flight 1016	near Charlotte	North Carolina	McDonnell Douglas DC-9-31	The aircraft experienced windshear during landing due to a microburst and failed to successfully execute an aborted landing to recover from it.
January 7, 1994	5	3	3	American Eagle Flight 4184	Gahanaa	Ohio	British Aerospace Jetstream 41	The aircraft entered an aerodynamic stall during a poorly executed approach from which the pilots were unable to recover.
December 1, 1993	18	0	0	Northwest Airlink Flight 5719	east of Hibbing	Minnesota	British Aerospace Jetstream 31	The aircraft crashed into terrain during approach due to failure of the crew to maintain spatial and altitude awareness.
June 8, 1992	3	3	3	GP Express Flight 861	near Anniston	Alabama	Beechcraft Model 99	The crew attempted an approach and lost situational awareness, crashing into a hill.
March 22, 1992	27	21	24	USAir Flight 405	Flushing Bay, near Queens, New York City	New York	Fokker F28 Fellowship	The aircraft did not generate sufficient lift during takeoff due to excessive ice buildup on the wings and crashed shortly beyond the runway. Delays during taxiing caused too much time to elapse since deicing.
January 3, 1992	2	2	2	CommutAir Flight 4281	near Gabriels	New York	Beechcraft 1900C	The aircraft descended below glideslope during approach and crashed due to pilot error.
September 11, 1991	14	0	0	Continental Express Flight 2574	near Eagle Lake	Texas	Embraer EMB 120 Brasilia	The aircraft suffered loss the leading edge of the left horizontal stabilizer while descending due to a critical mistake made during maintenance, causing an unrecoverable dive.
July 10, 1991	13	6	2	L'Express Airlines Flight 508	Birmingham	Alabama	Beechcraft Model 99	The aircraft suffered loss of control during a landing approach during severe thunderstorm activity. Blame was placed on the crew for continuing the approach under such conditions.
April 5, 1991	23	0	0	Atlantic Southeast Airlines Flight 2311	Brunswick	Georgia	Embraer EMB 120 Brasilia	The aircraft experienced a loss of control due to a malfunction of the left engine propeller control unit, which was attributed to a design flaw.
March 3, 1991	25	1	0	United Airlines Flight 585	Colorado Springs	Colorado	Boeing 737-200	The aircraft experienced a loss of control during approach due to a rudder hardover caused by a design flaw. The cause was not determined until after investigation of a similar later incident, USAir Flight 427.
February 1, 1991	35	29	66	Los Angeles runway disaster	Los Angeles	California	Boeing 737-300, Fairchild Swearingen Metroliner	USAir Flight 1493 crashed during landing into SkyWest Flight 5569, which had mistakenly been given approval by air traffic control to hold for takeoff on the same runway. All aboard the SkyWest flight, as well as 23 aboard the USAir flight, perish.
December 3, 1990	8	10	190	1990 Wayne County Airport runway collision	Romulus	Michigan	McDonnell Douglas DC-9-14, Boeing 727-200 Advanced	Northwest Airlines Flight 1482 mistakenly entered an active runway during intense fog and was struck by Northwest Airlines Flight 299 during its landing. Eight aboard Flight 1482 were killed.
April 9, 1990	2	0	7	Atlantic Southeast Airlines Flight 2254	Gadsden	Alabama	Embraer EMB 120 Brasilia	The aircraft experienced a mid-air collision with a Cessna 172, killing both occupants of the Cessna, while there were no injuries aboard the commercial flight and it made a successful landing in spite of loss of its right horizontal stabilizer.
January 25, 1990	73	85	85	Avianca Flight 52	Cove Neck	New York	Boeing 707-320B	The aircraft crashed while attempting to land in poor weather due to fuel exhaustion. The crew was blamed for failure to properly declare a fuel emergency.
December 26, 1989	6	0	0	United Express Flight 2415	Pasco	Washington	British Aerospace Jetstream 31	The aircraft crashed during approach, likely due to ice buildup on the control surfaces combined with the low speed and high descent angle of the approach.
September 20, 1989	2	21	61	USAir Flight 5050	Bowery Bay, Queens, New York City	New York	Boeing 737-400	The aircraft attempted to abort a takeoff after a tire blowout caused by improper use of the nosewheel tiller to correct a mistrimmed rudder, but overshot the runway and crashed into Bowery Bay.
July 19, 1989	112	171	184	United Airlines Flight 232	Sioux City	Iowa	McDonnell Douglas DC-10-10	The aircraft crash landed on the runway during an emergency landing after suffering an uncontained engine failure attributed to defective titanium alloy used in its construction, leading to substantial loss of hydraulics and flight controls. The crew was commended for executing excellent crew resource management, which reduced the severity of the crash and mitigated the extent of the fatalities.
January 24, 1989	9	38	346	United Airlines Flight 811	Pacific Ocean near Honolulu	Hawaii	Boeing 747-100	The aircraft experienced explosive decompression when a cargo door opened unexpectedly midflight, which was eventually attributed to flaws in the door's design, causing some seats to be expelled from the aircraft. The flight was able to make an emergency landing in Honolulu.
August 31, 1988	14	76	94	Delta Air Lines Flight 1141	Euless	Texas	Boeing 727-200 Advanced	The aircraft crashed during takeoff due to improper takeoff configuration. Contributing to the accident was failure of the aircraft's take-off warning system.
April 28, 1988	1	65	94	Aloha Airlines Flight 243	Kahului	Hawaii	Boeing 737-200	The aircraft experienced an explosive decompression due to metal fatigue and failure of maintenance procedures to detect it. A flight attendant was ejected from the aircraft.
February 19, 1988	12	0	0	AVAir Flight 3378	Cary	North Carolina	Fairchild Swearingen Metroliner	The aircraft crashed shortly after takeoff due to an excessive rate of turn on the part of the crew during the climb.
January 19, 1988	9	7	8	Trans-Colorado Airlines Flight 2286	Bayfield	Colorado	Fairchild Swearingen Metroliner	The aircraft crashed during approach due to descent below the approach profile during a rapid descent.
December 7, 1987	43	0	0	Pacific Southwest Airlines Flight 1771	near Cayucos	California	British Aerospace 146	The aircraft was hijacked and deliberately crashed.
November 15, 1987	28	28	54	Continental Airlines Flight 1713	Denver	Colorado	McDonnell Douglas DC-9-14	The aircraft crashed during takeoff due to ice buildup and over-rotation by the first officer. The excessive icing was caused by miscommunication with air traffic control on the part of the crew and ensuing delays after deicing, and the decision to not undergo deicing a second time.
August 16, 1987	156	6	1	Northwest Airlines Flight 255	Detroit	Michigan	McDonnell Douglas MD-82	The aircraft crashed shortly after takeoff due to failure of the crew to properly configure the aircraft for takeoff; contributing to the accident was lack of power to the takeoff warning system.
May 8, 1987	2	4	4	American Eagle Flight 5452	Mayagüez	Puerto Rico	CASA C-212 Aviocar	The aircraft crashed during approach likely due to loss of thrust from one of the engines attributed to poor maintenance. Contributing to the accident was the pilot flying an unstabilized approach.
March 4, 1987	9	20	10	Northwest Airlink Flight 2268	Romulus	Michigan	CASA C-212 Aviocar	The aircraft crashed during approach due to the pilot flying an unstabilized approach, specifically the captain's use of the beta propeller mode which caused asymmetric power at low speed.
January 15, 1987	10	0	0	Skywest Airlines Flight 1834	Kearns	Utah	Fairchild Swearingen Metroliner	The flight experienced a mid-air collision with a Mooney M-20 private aircraft after it entered restricted airspace. Primary blame was placed upon air traffic control for not preventing the collision.
August 31, 1986	82	8	0	Aeroméxico Flight 498	Cerritos	California	McDonnell Douglas DC-9-32	The flight experienced a mid-air collision with a Piper PA-28-181 Archer private aircraft after it entered restricted airspace. Equal blame was placed upon air traffic control and the pilot of the Piper for not preventing the collision.
June 18, 1986	25	0	0	Grand Canyon Airlines Flight 6	Grand Canyon National Park	Arizona	de Havilland Canada DHC-6 Twin Otter	The sightseeing flight experienced a mid-air collision with a Bell 206 helicopter over the Grand Canyon.
September 23, 1985	14	0	0	Henson Airlines Flight 1517	Grottoes	Virginia	Beechcraft Model 99	The aircraft crashed during approach due to navigational errors made by the crew and failure to adequately monitor their instruments.
September 6, 1985	31	0	0	Midwest Express Airlines Flight 105	Milwaukee	Wisconsin	McDonnell Douglas DC-9-14	The aircraft suffered an uncontained engine failure shortly after takeoff and then crashed due to inappropriate response by the crew to the loss of thrust.
August 25, 1985	8	0	0	Bar Harbor Airlines Flight 1808	Auburn	Maine	Beechcraft Model 99	The aircraft crashed during approach due to the pilot flying an unstabilized approach; contributing to the mishap was poor assistance from air traffic control.
August 2, 1985	137	28	27	Delta Air Lines Flight 191	Irving	Texas	Lockheed L-1011 TriStar	The aircraft experienced a microburst during approach and crashed, striking a car and killing most passengers in the process, as well as the occupant in the car.
January 21, 1985	70	1	1	Galaxy Airlines Flight 203	Reno	Nevada	Lockheed L-188 Electra	The aircraft crashed shortly after takeoff due to the crew's inability to maintain control of the aircraft during an emergency landing precipitated by vibrations caused by an open air start access door left open by the ground crew.
December 6, 1984	13	0	0	PBA Flight 1039	Jacksonville	Florida	Embraer EMB-110 Bandeirante	The aircraft was thought to have experienced a malfunction of either its elevator control or trim systems, leading to detachment of the horizontal stabilizer due to overstress caused by the crew's attempts to correct the loss of pitch control.
December 20, 1983	1	2	86	Ozark Air Lines Flight 650	Sioux Falls	South Dakota	McDonnell Douglas DC-9-31	The aircraft collided with a runway snowplow during landing, killing its driver.
October 11, 1983	10	0	0	Air Illinois Flight 710	near Pinckneyville	Illinois	Hawker Siddeley HS 748	The aircraft experienced complete loss of electrical power shortly after takeoff and eventually crashed into terrain while trying to navigate in the dark without instrumentation; the captain was blamed for attempting to continue to the flight's destination rather than executing an emergency landing at the departure airport.
June 2, 1983	23	16	23	Air Canada Flight 797	Hebron	Kentucky	McDonnell Douglas DC-9-32	A fire developed in an aft lavatory, eventually filling the plane with smoke and destroying some electrical cables. The plane made a successful emergency landing, but during evacuation a flashover occurred that caused the death of half the original occupants.
January 11, 1983	3	0	0	United Airlines Flight 2885	Romulus	Michigan	Douglas DC-8-54F	The aircraft crashed shortly after takeoff due to an excessive stabilizer trim setting; contributing to the accident was the captain's decision to allow the flight engineer to perform the takeoff.
August 11, 1982	1	16	273	Pan Am Flight 830	Pacific Ocean, inbound to Honolulu	Hawaii	Boeing 747-100	A bomb exploded underneath a passenger's seat. The passenger died, but the plane landed safely in Honolulu.
July 9, 1982	153	4	0	Pan Am Flight 759	Kenner	Louisiana	Boeing 727-200	The aircraft experienced a microburst shortly after takeoff, causing a rapid, unrecoverable descent. All on board and 8 on the ground were killed.
January 23, 1982	2	39	210	World Airways Flight 30	Boston	Massachusetts	McDonnell Douglas DC-10-30CF	The aircraft touched down far past the displaced threshold, leaving the aircraft insufficient runway to stop due to severe icing, and came to a stop in Boston Harbor. Two passengers were never found and are presumed to have drowned.
January 13, 1982	78	9	5	Air Florida Flight 90	Potomac River, Washington, D.C.	District of Columbia	Boeing 737-200	The aircraft experienced severe icing while taxiing and stalled immediately after takeoff, crashing into the 14th Street Bridge, killing 4 on the bridge and all but 5 aboard the aircraft. Primary blame was placed on the crew's improper responses to the icing conditions.
June 20, 1980	13	2	2	Air Wisconsin Flight 965	near Valley	Nebraska	Fairchild Swearingen Metroliner SA226-TC Metro II	The aircraft suffered a dual-engine flameout due to high levels of water ingestion from severe precipitation, leading to a loss of control.
June 17, 1979	1	4 or 5	9	Air New England Flight 248	Yarmouth	Massachusetts	de Havilland Canada DHC-6 Twin Otter	The aircraft crashed during approach, killing only the pilot.
May 30, 1979	17	1	1	Downeast Flight 46	Rockland	Maine	de Havilland Canada DHC-6 Twin Otter	The aircraft crashed after descending below glideslope during approach in poor visibility.
May 25, 1979	273	2	0	American Airlines Flight 191	Des Plaines	Illinois	McDonnell Douglas DC-10-10	The left engine separated from the aircraft during takeoff due to improper maintenance, damaging the left wing and causing its leading-edge slats to retract, leading to an unrecoverable asymmetric aerodynamic stall. Two on the ground were also killed. It remains the deadliest commercial aircraft accident in the United States, and the second-deadliest incident involving commercial aircraft in the United States, after the 9/11 attacks.
December 28, 1978	10	24	179	United Airlines Flight 173	Portland	Oregon	McDonnell Douglas DC-8-61	The aircraft crashed due to fuel exhaustion caused by the crew's failure to adequately monitor its fuel while trying to troubleshoot issues with its landing gear, itself attributed to poor maintenance.
September 25, 1978	144	9	0	PSA Flight 182	San Diego	California	Boeing 727-200, Cessna 172	The Boeing 727 experienced a mid-air collision with a private aircraft during approach due to their failure to strictly adhere to air traffic control procedures, killing everyone aboard both aircraft as well as 7 on the ground.
May 8, 1978	3	11	55	National Airlines Flight 193	Escambia Bay, near Pensacola	Florida	Boeing 727-200	The crew attempted a non-precision approach in poor visibility, improperly responded to a ground proximity alarm, and the aircraft landed in the water short of the runway.
March 1, 1978	4	29	196	Continental Airlines Flight 603	Los Angeles	California	McDonnell Douglas DC-10-10	The aircraft suffered a tire blowout and then overran the runway during the aborted takeoff attempt.
December 18, 1977	3	0	0	United Airlines Flight 2860	near Fruit Heights	Utah	Douglas DC-8F-54	The cargo flight experienced electrical issues including inoperable landing gear lights and entered a holding pattern to address the issue, but crashed into the Wasatch Mountains due to inadequate communication with air traffic control.
December 13, 1977	29	0	0	Air Indiana Flight 216	Evansville	Indiana	Douglas DC-3	The pilot failed to remove the gust locks on the right aileron and rudder before takeoff, and the baggage compartment was overloaded, which together caused the aircraft to crash during takeoff. The passengers were the Evansville Purple Aces men's basketball team.
October 20, 1977	6	20	20	Lynyrd Skynyrd plane crash	near Gillsburg	Mississippi	Convair CV-240	The aircraft crashed due to fuel exhaustion caused by the crew's failure to adequately monitor its fuel. Lead vocalist Ronnie Van Zant and guitarist Steve Gaines died in the crash.
April 4, 1977	72	22	22	Southern Airways Flight 242	New Hope	Georgia	McDonnell Douglas DC-9-31	The aircraft suffered dual-engine failure due to high water intake during a hail storm, executed a forced landing on a state highway, and crashed into buildings, killing 63 aboard the aircraft as well as 9 on the ground.
April 27, 1976	37	39	51	American Airlines Flight 625	St. Thomas	U.S. Virgin Islands	Boeing 727-100	The aircraft touched down too far down the runway due to improper flap settings and attempted a go around, but then aborted it, failing to utilize reverse thrust in a timely manner and overran the runway.
August 30, 1975	10	22	22	Wien Air Alaska Flight 99	Gambell	Alaska	Fairchild F-27	The aircraft went through several missed approaches in heavy fog and crashed into a mountain. The crew was blamed for improper adherence to instrument flight rules.
June 24, 1975	113	11	11	Eastern Air Lines Flight 66	Queens, New York City	New York	Boeing 727-200	The aircraft experienced windshear caused by a microburst during approach.
January 9, 1975	14	0	0	Golden West Airlines Flight 261	Whittier	California	de Havilland Canada DHC-6 Twin Otter	The flight experienced a mid-air collision with a Cessna 150. A major factor in the accident was the position of the sun at the time.
December 1, 1974	92	0	0	TWA Flight 514	Mount Weather, near Bluemont	Virginia	Boeing 727-200	The aircraft crashed during an unstabilized approach when the aircraft descended prematurely.
December 1, 1974	3	0	0	Northwest Airlines Flight 6231	Haverstraw	New York	Boeing 727-200	The crew of the ferry flight failed to activate the pitot tube heaters, leading to atmospheric icing of the tubes and erroneous airspeed readings. The crew then reacted improperly by raising the nose of the aircraft, causing a stall and a subsequent spin from which the crew did not recover.
September 11, 1974	72	9	10	Eastern Air Lines Flight 212	Charlotte	North Carolina	McDonnell Douglas DC-9-31	The crew failed to maintain sufficient altitude awareness during approach in poor visibility, largely due to distracting themselves with impertinent conversation. The accident was the first to eventually precipitate the sterile cockpit rule.
January 30, 1974	96	5	5	Pan Am Flight 806	Pago Pago	American Samoa	Boeing 707-321B	The aircraft encountered windshear caused by a microburst during approach and failed to recognize in a timely manner and correct the ensuing excessive descent rate.
January 6, 1974	12	5	5	Commonwealth Commuter Flight 317	Richland Township	Pennsylvania	Beechcraft Model 99A	The captain descended prematurely below glideslope during approach and the aircraft stalled, possibly caused by using a low approach airspeed.
November 3, 1973	1	24	127	National Airlines Flight 27	65 miles SW of Albuquerque	New Mexico	McDonnell Douglas DC-10-10	The aircraft suffered an uncontained engine failure with fragments penetrating the fuselage; one passenger was ejected from the aircraft. The flight subsequently completed a successful emergency landing in Albuquerque.
September 27, 1973	11	0	0	Texas International Airlines Flight 655	Black Fork Mountain	Arkansas	Convair CV-600	The captain attempted to deviate the flight's route around a severe thunderstorm, bringing them in an area with higher terrain, but did not increase altitude and the flight eventually struck a mountain. A major factor in the accident was that the flight was conducted under visual flight rules at night with no air traffic control while en route.
September 8, 1973	6	0	0	World Airways Flight 802	King Cove	Alaska	McDonnell Douglas DC-8-63F	The captain of the cargo flight failed to adhere to procedures for the instrument approach, straying off-course and crashing into Mount Dutton.
July 31, 1973	89	0	0	Delta Air Lines Flight 723	Boston	Massachusetts	McDonnell Douglas DC-9-31	The crew continued with an unstabilized approach in poor visibility, failing to adequately monitor their altitude, descending below glideslope and crashing short of the runway. Contributing to the accident were the likely improper settings of the flight director made by the crew.
July 23, 1973	38	6	6	Ozark Air Lines Flight 809	Normandy	Missouri	Fairchild-Hiller FH-227	The flight encountered severe vertical windshear during approach, causing a rapid descent and crash. Contributing to the accident was the captain's decision to continue with the approach in spite of the (albeit limited) severe weather reports.
December 29, 1972	101	75	75	Eastern Air Lines Flight 401	Everglades	Florida	Lockheed L-1011 TriStar	The captain inadvertently changed the autopilot settings while the crew was preoccupied with determining whether the landing gear was down, causing a slow descent that was not noticed until just before the crash.
December 20, 1972	10	17	128	1972 Chicago-O'Hare runway collision	Chicago	Illinois	McDonnell Douglas DC-9-31, Convair 880	Delta Flight 954, operating the Convair, experienced miscommunication with air traffic control and were crossing a runway in poor visibility when North Central Airlines Flight 575, operating the DC-9, were in their takeoff roll on the same runway. The DC-9 attempted to fly over the Convair but struck it and then crash landed back on the runway. Ten passengers aboard the DC-9 died in the ensuing fire.
December 8, 1972	45	18	18	United Airlines Flight 553	Chicago	Illinois	Boeing 737-200	The captain executed an unstabilized approach, beginning it too high and executing a rapid descent using the spoilers, but failed to retract them after reaching the desired altitude and entered a stall to which he failed to properly respond.
June 29, 1972	13	0	0	1972 Lake Winnebago mid-air collision	over Lake Winnebago near Neenah	Wisconsin	Convair CV-580, de Havilland Canada DHC-6 Twin Otter	Both aircraft were operating under visual flight rules under sunny conditions, each failing to detect the other or take evasive action to avoid a mid-air collision.
June 24, 1972	5	15	15	Prinair Flight 191	Ponce	Puerto Rico	de Havilland DH.114 Heron 2B	The aircraft landed without assistance from air traffic control, which was unavailable at the time, then attempted a go-around but the pilot over-rotated leading to a stall at low altitude.
May 30, 1972	4	0	0	Delta Air Lines Flight 9570	Fort Worth	Texas	McDonnell Douglas DC-9-14	The training flight crashed during approach due to severe wake turbulence caused by a McDonnell Douglas DC-10 ahead of the flight. The accident led to aircraft spacing standards behind heavy aircraft.
March 3, 1972	17	35	32	Mohawk Airlines Flight 405	Albany	New York	Fairchild Hiller FH-227	The crew encountered problems with the left engine during approach and attempted to shut it down, but were unable to feather the propeller, leading to asymmetric drag and loss of control of the aircraft. Contributing to the accident was the unstabilized approach and lack of altitude awareness that transpired while the crew was preoccupied with the left engine.
September 4, 1971	111	0	0	Alaska Airlines Flight 1866	Haines Borough	Alaska	Boeing 727	The aircraft descended prematurely during approach and crashed into the Chilkat Range due to misleading navigational information.
